file,region,period,rows,issue,estimatedMissingIntervals,intervalAnomalies,malformedRows
VIC202410.csv,VIC,202410,8928,none,0,0,0
VIC202411.csv,VIC,202411,8640,none,0,0,0
VIC202412.csv,VIC,202412,8928,none,0,0,0
VIC202501.csv,VIC,202501,8928,none,0,0,0
VIC202502.csv,VIC,202502,8064,none,0,0,0
VIC202503.csv,VIC,202503,8928,none,0,0,0
VIC202504.csv,VIC,202504,8640,none,0,0,0
VIC202505.csv,VIC,202505,8928,none,0,0,0
VIC202506.csv,VIC,202506,8640,none,0,0,0
VIC202507.csv,VIC,202507,8928,none,0,0,0
VIC202508.csv,VIC,202508,8928,none,0,0,0
VIC202509.csv,VIC,202509,8640,none,0,0,0
VIC202510.csv,VIC,202510,8928,none,0,0,0
VIC202511.csv,VIC,202511,8640,none,0,0,0
VIC202512.csv,VIC,202512,8928,none,0,0,0
VIC202601.csv,VIC,202601,8928,none,0,0,0
VIC202602.csv,VIC,202602,8064,none,0,0,0
VIC202603.csv,VIC,202603,4896,incomplete-month;partial-month,0,0,0
